100 500
6 83 9
80 75 6
6 56 10
7 32 6
55 5 8
70 19 9
65 25 1
6 18 1
66 79 2
12 32 1
27 61 6
5 0 2
67 59 10
89 29 2
39 79 5
27 23 6
46 19 6
84 28 8
20 70 9
94 70 10
63 22 1
71 52 6
61 55 5
66 51 6
20 82 10
37 61 2
29 92 9
91 98 10
81 14 4
66 29 5
26 13 1
56 24 9
27 73 2
69 7 1
41 15 5
48 70 4
98 28 10
68 34 4
46 65 4
54 53 7
82 14 6
90 31 1
56 9 1
20 32 4
10 95 8
69 97 6
94 62 6
38 94 8
5 11 10
4 71 3
84 8 2
0 47 6
53 71 8
14 74 2
22 41 6
64 58 6
81 13 3
64 39 2
1 29 6
7 65 6
20 51 4
91 22 5
61 55 4
18 33 9
65 58 1
51 25 2
76 31 3
49 2 1
84 54 1
27 94 6
91 48 8
80 32 7
66 10 9
78 99 5
93 42 7
66 77 8
77 95 10
60 91 8
94 74 2
78 8 3
96 53 5
84 8 6
30 74 6
64 58 1
98 69 10
77 99 7
11 51 8
62 8 8
22 64 2
52 97 10
80 6 8
7 79 3
19 63 4
3 5 5
88 96 10
40 49 5
80 74 4
92 60 7
10 30 8
27 3 4
72 97 6
42 64 1
20 50 7
47 96 5
86 92 6
37 29 8
31 39 2
75 60 7
48 12 7
42 57 7
58 71 1
69 47 8
24 40 1
76 79 5
32 91 7
57 45 7
94 58 2
44 57 3
46 44 10
13 48 9
53 46 3
96 45 5
26 42 4
32 83 8
0 27 8
95 80 3
37 93 6
19 43 3
22 17 2
24 70 10
28 31 5
3 96 6
48 87 5
63 30 1
18 78 1
67 11 7
94 46 5
86 77 3
97 91 9
69 8 2
62 49 7
45 87 8
97 84 6
85 28 7
23 86 9
89 87 7
66 46 10
81 4 10
94 69 2
25 23 9
20 27 4
79 32 7
32 14 7
47 12 10
53 91 5
27 83 4
73 10 3
91 89 7
57 10 3
31 7 8
69 47 7
95 98 6
56 34 10
9 14 9
36 35 7
39 20 6
48 15 7
25 11 3
41 40 4
1 62 5
80 61 9
99 4 6
4 17 2
16 42 4
85 77 6
65 52 5
57 55 6
47 80 5
92 60 5
62 79 7
38 35 4
11 19 3
60 40 4
81 95 2
70 77 9
66 49 5
53 98 7
51 4 7
22 97 1
26 44 7
43 51 5
5 93 5
34 45 5
25 6 4
94 75 8
29 96 6
41 35 5
6 50 2
36 23 5
70 81 2
16 64 5
79 74 8
84 18 8
18 6 3
25 21 10
72 31 9
56 48 2
65 67 6
69 11 7
16 26 5
1 64 5
96 66 8
57 17 10
72 4 9
39 65 3
31 76 8
50 94 8
55 65 2
48 2 8
82 30 4
45 32 7
36 84 1
51 60 9
62 9 9
39 61 1
98 29 9
1 41 7
57 9 1
70 12 9
38 77 5
14 38 8
52 88 2
11 67 2
85 95 9
69 95 9
19 65 2
